id,股票简称,最新价,涨跌幅(%),PE(TTM),PE(静),市净率,PEG值,市销率,市现率,所属行业,收益,总股本,ROE,净利率(%),负债率(%),同比(%),每股净资产,毛利率,PE(动),净利润,总营收,总值,流值
1,平安银行,12.85,0.07788162,5.27557859,5.47864595,0.66179774,0.201219042,1.39477391,2.58140235,银行,0.752450868,19405918198,3.39,32.37837598,91.81170392,13.63424125,19.4168086,0,427,14602000000,45098000000,2.49366E+11,2.49361E+11
2,万科A,15.3,0,8.06474683,8.07063588,0.74199484,19.60657091,0.35817039,7.93274226,房地产开发,0.121184021,11930709471,0.6,4.138378491,77.19518446,1.155533435,20.6200894,15.44732615,3156,1445811342,68474007399,1.8254E+11,1.48665E+11
4,ST国华,10.61,3.816046967,-2.38893823,-2.36828889,4.08467816,0.142386425,7.98795579,-40.78545662,软件开发,-0.055907393,132848008,-2.13,-36.01717252,35.57742735,40.92098306,2.5975119,60.87122,-4744,-7427185.74,21255770.69,1409517365,1261707810
5,ST星源,1.51,3.424657534,-9.96349015,-10.24232642,1.32121136,0.013580145,5.6548906,-88.89195654,环保行业,-0.002647062,1058536842,-0.23,-14.36339336,48.32286561,-278.9990882,1.1428906,5.629716827,-14261,-2802012.83,28171813.23,1598390631,1597499526
6,深振业A,4.89,-2.589641434,18.18081248,15.73206738,0.83671403,-0.347516863,1.82660859,3.68469407,房地产开发,-0.008952538,1349995046,-0.15,-4.911775793,68.08160753,-127.2008793,5.8442907,37.5655575,-13655,-12085882.25,265640113.1,6601475775,6601475775
7,*ST全新,4.22,-4.954954955,-1277.10773,-272.9421124,16.19314917,-70.11566987,6.79239677,7.19764498,房地产服务,-0.000670228,346448044,-0.26,-1.288551726,71.27935017,94.77488497,0.260604,21.9063634,-157409,-232199.04,49531240.17,1462010746,1303760746
8,神州高铁,2.51,1.619433198,-8.23575653,-8.05677426,1.56912266,-0.36417386,3.42840589,16.77393074,交运设备,-0.012129763,2716377683,-1.35,-7.13087236,61.14672991,35.82216376,1.59962,36.75988424,-5173,-32949016.59,431343230.6,6818107984,6601485860
9,中国宝安,10.83,-0.092250923,22.695045,24.15127231,2.96010209,1.206966967,0.80797816,11.20876232,综合行业,0.092798114,2579213965,2.58,5.666483242,62.04831095,44.94039119,3.6586576,18.53101423,2918,239346190.5,8232161260,27932887241,27631990409
10,美丽生态,2.58,0.78125,-4.83236586,-5.09793283,4.02742009,4.54E-06,4.93845392,-4.05020476,工程建设,-0.025946513,1058692292,-4.05,-28.33981469,75.19855538,-1490.506963,0.6406086,7.052907397,-2486,-27469373.14,123962806.8,2731426113,1347202465
11,深物业A,9.99,-1.962708538,17.96347313,11.07350202,1.3449733,-0.492809063,2.07861428,13.27580862,房地产开发,0.022176535,595979092,0.3,2.372170276,71.61323046,-93.9770677,7.4276567,24.59033674,11262,13216750.95,411469619.2,5953831129,5259490675
12,南玻A,6.58,-0.453857791,9.85652968,9.91808819,1.52497991,0.243309424,1.22576785,12.86412531,玻璃玻纤,0.129093401,3070692107,3.04,9.64113994,46.30317595,3.316086875,4.3148109,22.23542784,1274,396406087,4070673784,20205154064,12873669971
14,沙河股份,10.63,0.472589792,6.52113359,10.34649015,1.93711815,0.010959315,2.54675828,3.40428607,房地产开发,0.667533467,242046224,12.95,41.48578151,57.46552692,929.3447616,5.4875331,67.20507818,398,161573955,389370140.2,2572951361,2572951361
16,深康佳A,4.79,-0.82815735,-8.10390193,-7.83878081,1.48318068,-0.024489697,0.44553057,-10.67869335,家电行业,0.063337783,2407945408,1.98,1.979435008,77.73946695,46.11916964,3.2295458,3.23505312,1891,152513923.4,4600647852,11534058504,7647684302
17,深中华A,4.35,1.398601399,-775.9223754,-393.6194033,10.23269564,0.976499124,5.49032463,-11.52905901,交运设备,0.004133372,689184933,0.98,2.350127956,22.09107093,415.1200859,0.4251079,5.511851852,26310,2848657.72,151527917.9,2997954459,1317961647
19,深粮控股,7.73,0.520156047,22.92603772,21.1821354,1.82993458,-12.94686889,1.19309125,69.2498714,贸易行业,0.091489501,1152535254,2.19,7.869400405,37.56522899,-23.27824261,4.2241947,18.52084919,2112,105444875,1338942952,8909097513,3217352826
20,深华发A,9.9,1.020408163,263.1166034,276.7931185,7.78649428,4.868774741,4.19327045,47.69004889,光学光电子,0.022716429,283161227,1.8,3.657509214,38.27641482,8.913511034,1.2714323,13.83465174,10895,6432411.78,175868641.9,2803296147,1793537371
21,深科技,17.86,9.975369458,53.8220589,42.29113976,2.67973706,-4.538771198,1.69937697,12.67520054,消费电子,0.064727537,1560587588,1.02,3.123016001,56.36371201,-58.29519151,6.664833,10.74700498,6898,101012991,3933775539,27872094322,27861906335
23,ST深天,7.16,1.129943503,-3.89184366,-3.66981407,8.18437206,0.004735452,3.02120043,-8.08931624,水泥建材,-0.134429612,138756240,-14.27,-49.2781128,83.97238528,45.29535588,0.874838,-2.585032916,-1332,-18652947.49,42802914.93,993494678.4,993464470.4
25,特力A,17.27,-1.426940639,99.30753835,89.15834406,4.86270444,-4.038128471,7.17582312,-93.43102728,汽车服务,0.058632634,431058320,1.66,7.471313827,30.49447856,-25.24087891,3.5515216,14.08535628,7364,25274084.85,339838493.2,7444377186,6783281586
26,飞亚达,12.25,1.575456053,18.044579,19.18372078,1.57278292,-0.595775683,1.16789229,9.46733489,珠宝首饰,0.247084724,417627960,3.23,8.598439317,20.66399188,19.49579764,7.7887418,36.02818784,1239,103189489.2,1200095569,5115942510,4441279309
27,深圳能源,6.9,3.448275862,14.18068588,14.9303216,1.13596093,1.854292622,0.86725288,3.24493366,电力行业,0.133273593,4757389916,1.81,9.453497999,62.50839799,22.44565196,6.0741526,22.14993619,1294,634034448.2,8092758141,32825990420,32825990420
28,国药一致,55.68,-4.934266689,14.93100348,16.03416137,1.44577743,1.169907832,0.31793008,7.97830024,医药商业,0.846023167,428126983,2.22,2.466074181,58.4695925,43.52617626,38.512152,11.41607957,1645,362205346.2,18686817787,23838110413,20475408240
29,深深房A,12.6,7.416879795,-288.3064694,82.92359515,3.21041678,11.25715042,27.06666939,-32.03126999,房地产开发,-0.035242867,1011660000,-0.89,-33.39464896,22.78735335,-121.9708033,3.9247241,7.398363276,-8938,-35653798.52,109155515.7,12746916000,11234916000
30,富奥股份,4.91,1.6563147,15.29855903,17.07010852,1.13118033,-0.368631026,0.67548367,-206.7185518,汽车零部件,0.047007908,1741643085,1.09,2.484539306,42.80395705,243.1246028,4.3405988,8.288930976,2611,81870997.61,2803266645,8551467547,8308748454
